"block","agegrp","sex","oud","counts"
"Buprenorphine","18_19","Male","Nonactive_Injection",5.2
"Buprenorphine","18_19","Female","Active_Noninjection",2.8
"Buprenorphine","18_19","Female","Active_Injection",1.2
"Buprenorphine","18_19","Female","Nonactive_Noninjection",8.8
"Buprenorphine","18_19","Female","Nonactive_Injection",2.8
"Buprenorphine","20_21","Male","Active_Noninjection",74.4
"Buprenorphine","20_21","Male","Active_Injection",24.8
"Buprenorphine","20_21","Male","Nonactive_Noninjection",219.6
"Buprenorphine","20_21","Male","Nonactive_Injection",73.6
"Buprenorphine","20_21","Female","Active_Noninjection",48.4
"Buprenorphine","20_21","Female","Active_Injection",16
"Buprenorphine","20_21","Female","Nonactive_Noninjection",142.8
"Buprenorphine","20_21","Female","Nonactive_Injection",48
"Buprenorphine","22_23","Male","Active_Noninjection",74.4
"Buprenorphine","22_23","Male","Active_Injection",24.8
"Buprenorphine","22_23","Male","Nonactive_Noninjection",219.6
"Buprenorphine","22_23","Male","Nonactive_Injection",73.6
"Buprenorphine","22_23","Female","Active_Noninjection",48.4
"Buprenorphine","22_23","Female","Active_Injection",16
"Buprenorphine","22_23","Female","Nonactive_Noninjection",142.8
"Buprenorphine","22_23","Female","Nonactive_Injection",48
"Buprenorphine","24_25","Male","Active_Noninjection",107.4
"Buprenorphine","24_25","Male","Active_Injection",35.8
"Buprenorphine","24_25","Male","Nonactive_Noninjection",317
"Buprenorphine","24_25","Male","Nonactive_Injection",106.2
"Buprenorphine","24_25","Female","Active_Noninjection",75.4
"Buprenorphine","24_25","Female","Active_Injection",25.2
"Buprenorphine","24_25","Female","Nonactive_Noninjection",222.8
"Buprenorphine","24_25","Female","Nonactive_Injection",74.6
"Buprenorphine","26_27","Male","Active_Noninjection",140.4
"Buprenorphine","26_27","Male","Active_Injection",46.8
"Buprenorphine","26_27","Male","Nonactive_Noninjection",414.4
"Buprenorphine","26_27","Male","Nonactive_Injection",138.8
"Buprenorphine","26_27","Female","Active_Noninjection",102.4
"Buprenorphine","26_27","Female","Active_Injection",34.4
"Buprenorphine","26_27","Female","Nonactive_Noninjection",302.8
"Buprenorphine","26_27","Female","Nonactive_Injection",101.2
"Buprenorphine","28_29","Male","Active_Noninjection",140.4
"Buprenorphine","28_29","Male","Active_Injection",46.8
"Buprenorphine","28_29","Male","Nonactive_Noninjection",414.4
"Buprenorphine","28_29","Male","Nonactive_Injection",138.8
"Buprenorphine","28_29","Female","Active_Noninjection",102.4
"Buprenorphine","28_29","Female","Active_Injection",34.4
"Buprenorphine","28_29","Female","Nonactive_Noninjection",302.8
"Buprenorphine","28_29","Female","Nonactive_Injection",101.2
"Buprenorphine","30_31","Male","Active_Noninjection",174
"Buprenorphine","30_31","Male","Active_Injection",58
"Buprenorphine","30_31","Male","Nonactive_Noninjection",513.2
"Buprenorphine","30_31","Male","Nonactive_Injection",172
"Buprenorphine","30_31","Female","Active_Noninjection",109.2
"Buprenorphine","30_31","Female","Active_Injection",36.8
"Buprenorphine","30_31","Female","Nonactive_Noninjection",322.8
"Buprenorphine","30_31","Female","Nonactive_Injection",108
"Buprenorphine","32_33","Male","Active_Noninjection",174
"Buprenorphine","32_33","Male","Active_Injection",58
"Buprenorphine","32_33","Male","Nonactive_Noninjection",513.2
"Buprenorphine","32_33","Male","Nonactive_Injection",172
"Buprenorphine","32_33","Female","Active_Noninjection",109.2
"Buprenorphine","32_33","Female","Active_Injection",36.8
"Buprenorphine","32_33","Female","Nonactive_Noninjection",322.8
"Buprenorphine","32_33","Female","Nonactive_Injection",108
"Buprenorphine","34_35","Male","Active_Noninjection",151.4
"Buprenorphine","34_35","Male","Active_Injection",50.6
"Buprenorphine","34_35","Male","Nonactive_Noninjection",446.8
"Buprenorphine","34_35","Male","Nonactive_Injection",149.8
"Buprenorphine","34_35","Female","Active_Noninjection",91
"Buprenorphine","34_35","Female","Active_Injection",30.6
"Buprenorphine","34_35","Female","Nonactive_Noninjection",268.6
"Buprenorphine","34_35","Female","Nonactive_Injection",90
"Buprenorphine","36_37","Male","Active_Noninjection",128.8
"Buprenorphine","36_37","Male","Active_Injection",43.2
"Buprenorphine","36_37","Male","Nonactive_Noninjection",380.4
"Buprenorphine","36_37","Male","Nonactive_Injection",127.6
"Buprenorphine","36_37","Female","Active_Noninjection",72.8
"Buprenorphine","36_37","Female","Active_Injection",24.4
"Buprenorphine","36_37","Female","Nonactive_Noninjection",214.4
"Buprenorphine","36_37","Female","Nonactive_Injection",72
"Buprenorphine","38_39","Male","Active_Noninjection",128.8
"Buprenorphine","38_39","Male","Active_Injection",43.2
"Buprenorphine","38_39","Male","Nonactive_Noninjection",380.4
"Buprenorphine","38_39","Male","Nonactive_Injection",127.6
"Buprenorphine","38_39","Female","Active_Noninjection",72.8
"Buprenorphine","38_39","Female","Active_Injection",24.4
"Buprenorphine","38_39","Female","Nonactive_Noninjection",214.4
"Buprenorphine","38_39","Female","Nonactive_Injection",72
"Buprenorphine","40_41","Male","Active_Noninjection",104
"Buprenorphine","40_41","Male","Active_Injection",34.8
"Buprenorphine","40_41","Male","Nonactive_Noninjection",307.6
"Buprenorphine","40_41","Male","Nonactive_Injection",102.8
"Buprenorphine","40_41","Female","Active_Noninjection",72
"Buprenorphine","40_41","Female","Active_Injection",24
"Buprenorphine","40_41","Female","Nonactive_Noninjection",213.2
