"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"24_25","Female","Active_Noninjection","No_Treatment",0.983098976613606,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00771923967980886,0,0.981363795652704,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00945442064070992,0,0.982906958820597,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00791125747281842,0
"24_25","Female","Active_Injection","No_Treatment",0.983098976613606,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00771923967980886,0,0.981363795652704,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00945442064070992,0,0.982906958820597,0.006102138545171,0.000860242429804594,0.00221940273160976,0.00791125747281842,0
"24_25","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"24_25","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"26_27","Male","Active_Noninjection","No_Treatment",0.982107988957325,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00942289018359903,0,0.979989850342454,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.0115410287984694,0,0.981873592481522,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00965728665940206,0
"26_27","Male","Active_Injection","No_Treatment",0.982107988957325,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00942289018359903,0,0.979989850342454,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.0115410287984694,0,0.981873592481522,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00965728665940206,0
"26_27","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"26_27","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"26_27","Female","Active_Noninjection","No_Treatment",0.983034875364863,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0069770906752589,0,0.981466519489885,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.00854544655023663,0,0.982861318692359,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0071506473477632,0
"26_27","Female","Active_Injection","No_Treatment",0.983034875364863,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0069770906752589,0,0.981466519489885,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.00854544655023663,0,0.982861318692359,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0071506473477632,0
"26_27","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"26_27","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"28_29","Male","Active_Noninjection","No_Treatment",0.982107988957325,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00942289018359903,0,0.979989850342454,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.0115410287984694,0,0.981873592481522,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00965728665940206,0
"28_29","Male","Active_Injection","No_Treatment",0.982107988957325,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00942289018359903,0,0.979989850342454,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.0115410287984694,0,0.981873592481522,0.00616691287776561,0.000682360942466986,0.00161984703884366,0.00965728665940206,0
"28_29","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"28_29","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"28_29","Female","Active_Noninjection","No_Treatment",0.983034875364863,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0069770906752589,0,0.981466519489885,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.00854544655023663,0,0.982861318692359,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0071506473477632,0
"28_29","Female","Active_Injection","No_Treatment",0.983034875364863,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0069770906752589,0,0.981466519489885,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.00854544655023663,0,0.982861318692359,0.00649761580978359,0.000671817240427197,0.00281860090966746,0.0071506473477632,0
